220 再见列宁 8.7 48259人评价  一个伟大的谎言成就了一个伟大的理想。 
221 导盲犬小Q 8.4 95314人评价  宠物的意义在于化解人的孤独。
222 荒岛余生 8.4 92919人评价  一个人的独角戏。
223 牯岭街少年杀人事件 8.6 58485人评价  弱者送给弱者的一刀。
224 国王的演讲 8.3 257209人评价  皇上无话儿。
225 血钻 8.4 88829人评价  每个美丽事物背后都是滴血的现实。
226 角斗士 8.4 98894人评价  罗马斗兽场的鸦雀无声，久久停留在这样的肃穆中。
227 寿司之神 8.8 51070人评价  NO COMMENTS
228 我在伊朗长大 8.7 55447人评价  像自由一样美丽。 
229 莫扎特传 8.6 53330人评价  上帝的宠儿。 
230 疯狂约会美丽都 8.8 42462人评价  一切都没有变，只是你不在我身边。
231 月球 8.5 97141人评价  2009媲美《第九区》的又一部科幻神作。
232 大卫·戈尔的一生 8.7 47443人评价  NO COMMENTS
233 廊桥遗梦 8.5 67536人评价  这样确切的爱，一生只有一次。
234 恐怖直播 8.7 101514人评价  NO COMMENTS
235 伴我同行 8.9 34023人评价  每个人都有自己可望而不可及的梦想。
236 八月迷情 8.3 105682人评价  音乐引人入胜。
237 洛城机密 8.6 56298人评价  NO COMMENTS
238 未麻的部屋 8.7 44233人评价  好的剧本是，就算你猜到了结局也猜不到全部。
239 我爱你 9.0 34647人评价  你要相信，这世上真的有爱存在，不管在什么年纪 
240 无敌破坏王 8.7 136574人评价  迪士尼和皮克斯拿错剧本的产物。
241 假如爱有天意 8.2 164709人评价  琼瑶阿姨在韩国的深刻版。
242 刺猬的优雅 8.8 37888人评价  简简单单，回味悠长。
243 帝企鹅日记 8.5 57502人评价  最冷的地方，有最温暖的感情。
244 蓝白红三部曲之红 8.7 46721人评价  最接近人道精神的是博爱。
245 黑鹰坠落 8.4 76899人评价  NO COMMENTS
246 千钧一发 8.7 46328人评价  NO COMMENTS
247 她比烟花寂寞 8.4 82983人评价  大提琴是种悲伤的乐器。
248 枪火 8.5 62493人评价  一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。
249 疯狂的石头 8.1 213883人评价  NO COMMENTS
250 茜茜公主 8.5 64100人评价  每个女孩都有个公主梦。
